"nTrees","mNodes","mTry","Accuracy","Kappa","F1","Sensitivity","Specificity","Pos.Pred.Value","Neg.Pred.Value","Detection.Rate","Desirability","rF_mod.SE","nDesirability"
300,7,2,0.871,0.7421,0.8655,0.8409,0.9,0.9047,0.8611,0.4054,0.8106,0.0151,0.929373996789727
300,7,3,0.854,0.7073,0.8395,0.8061,0.9,0.8994,0.8494,0.3884,0.789,0.0206,0.904609034625086
300,7,4,0.8543,0.7077,0.8401,0.8061,0.9,0.899,0.8462,0.3884,0.789,0.0166,0.904609034625086
300,7,5,0.8627,0.7252,0.8519,0.8242,0.9,0.9044,0.8605,0.3971,0.8004,0.0167,0.917679431323091
300,7,8,0.854,0.7072,0.8397,0.8061,0.9,0.8949,0.8451,0.3884,0.7884,0.0188,0.903921119009402
300,8,2,0.8714,0.7428,0.8626,0.8424,0.9,0.9022,0.873,0.4058,0.811,0.0206,0.929832607200184
300,8,4,0.8453,0.6889,0.8283,0.7864,0.9,0.8958,0.8319,0.3793,0.7772,0.0157,0.891080027516625
300,8,5,0.8623,0.7233,0.85,0.8212,0.9,0.8988,0.8562,0.3964,0.7985,0.0155,0.915501031873424
300,8,6,0.8623,0.7237,0.8502,0.8045,0.9167,0.9138,0.8378,0.388,0.7978,0.0095,0.914698463655125
300,8,7,0.854,0.7068,0.8368,0.7879,0.9167,0.9127,0.8352,0.3797,0.7875,0.0134,0.902889245585875
300,8,8,0.846,0.6911,0.8282,0.7894,0.9,0.8905,0.8351,0.3801,0.7779,0.0235,0.891882595734923
300,8,9,0.8453,0.6894,0.8276,0.7879,0.9,0.8986,0.8348,0.3797,0.7777,0.014,0.891653290529695
300,8,10,0.8453,0.6889,0.8239,0.7697,0.9167,0.9127,0.8252,0.371,0.7764,0.014,0.890162806695712
300,9,2,0.8801,0.7598,0.8693,0.8424,0.9167,0.9127,0.873,0.4058,0.8199,0.0196,0.940036688832837
300,9,3,0.8536,0.7055,0.835,0.7864,0.9167,0.9171,0.8364,0.3793,0.787,0.0094,0.902315982572804
300,9,4,0.8714,0.7422,0.859,0.8061,0.9333,0.9316,0.841,0.3884,0.8084,0.015,0.926851639532217
300,9,6,0.8714,0.7419,0.8609,0.8227,0.9167,0.9208,0.8567,0.3967,0.8097,0.0135,0.9283421233662
300,9,7,0.854,0.7065,0.8344,0.7879,0.9167,0.9127,0.8384,0.3797,0.7871,0.0176,0.902430635175419
300,9,8,0.854,0.7065,0.8344,0.7879,0.9167,0.9127,0.8384,0.3797,0.7871,0.0176,0.902430635175419
300,9,9,0.8627,0.7247,0.8494,0.8061,0.9167,0.9116,0.8405,0.3884,0.7981,0.016,0.915042421462967
300,9,10,0.8543,0.7077,0.8349,0.7894,0.9167,0.9099,0.8393,0.3801,0.7876,0.0202,0.903003898188489
300,10,2,0.8536,0.7053,0.833,0.7864,0.9167,0.9086,0.8375,0.3793,0.786,0.0201,0.901169456546664
300,10,3,0.8714,0.7419,0.8568,0.8061,0.9333,0.9349,0.8495,0.3884,0.8087,0.0139,0.92719559734006
300,10,4,0.879,0.7568,0.8676,0.8379,0.9167,0.9205,0.8726,0.4047,0.8187,0.0086,0.938660857601468
300,10,5,0.8714,0.7423,0.8598,0.8242,0.9167,0.9149,0.8588,0.3971,0.8094,0.0137,0.927998165558358
300,10,6,0.854,0.7072,0.8398,0.8061,0.9,0.8927,0.8445,0.3884,0.7882,0.0132,0.903691813804173
