X2,X3,X5,X7,X8,X9,X10,X13,X15,X16,X18,X19,X20,X21,X23,X24,X25,X26,X27,X28,X29,X30,X34,X37,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X51,X52,X57,X59,X60,X61,X62,X65,X66,X70,X71,X72,X73,X75,X78,X79,X83,X85,X87,X88,X89,X91,X92,X94,X96,X97,X98,X101,X102,X103,X104,X107,X108,X109,X110,X111,X112,X113,X114,X115,X117,X118,X119,X120,X123,X127,X129,X131,X132,X133,X134,X135,X137,X139,X140,X141,X142,X143,X145,X146,Y
16.66849,11.2,2017,0,0,0,0,1,0,3,4,2,4,-1,0,1,0,0,0,3,1,0,0,0,0,0,0,1,0,0,4,5,2,0,0,0,2,2,2,3,3,1,2,3,3,3,3,3,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,0,0,0,0
17.30959,136.42,2017,0,0,0,0,0,0,3,4,3,3,0,-1,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,4,3,0,1,0,1,2,2,2,2,2,3,3,3,1,1,2,1,6,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
15.53699,160.22,2017,0,0,1,0,1,0,1,4,2,3,-1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,4,5,1,0,0,1,1,2,2,3,2,3,3,3,2,3,2,3,7,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,1,0,1,0,1,1,0,1
17.41918,0,2017,0,0,0,0,1,0,4,1,2,3,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,4,4,1,0,0,0,1,2,2,2,2,3,3,3,3,3,2,2,10,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
16.44658,0,2018,0,0,0,0,0,0,2,1,2,4,1,-1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,5,5,1,0,0,1,1,1,2,3,3,3,3,3,3,3,3,3,7,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0
16.66575,34.32,2018,0,0,0,0,1,0,1,3,2,3,0,-1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,4,5,1,1,0,1,1,1,1,2,2,2,2,2,2,2,2,2,5,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0
18.23836,150.9,2018,0,0,0,0,1,1,3,4,4,5,-1,-1,1,0,0,1,2,0,0,0,0,0,0,0,0,1,0,5,5,0,1,0,0,2,2,2,1,1,0,1,1,1,1,1,0,6,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
16.76712,158.03,2018,0,0,0,0,0,0,2,3,1,3,0,-1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4,4,0,1,0,0,1,1,2,3,2,3,2,2,3,2,1,3,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
17.2411,163.48,2018,0,0,0,0,1,0,2,1,1,5,-1,0,1,0,0,0,3,0,1,0,0,1,1,0,1,0,0,5,5,1,0,0,1,2,2,2,1,1,0,1,1,1,1,1,0,7,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
16.84658,0,2018,0,0,0,0,1,0,4,1,2,4,-2,-1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4,5,1,0,0,1,1,1,2,2,3,0,1,1,1,3,3,1,8,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0
17.00274,47.45,2018,0,0,0,0,1,0,3,4,3,3,0,0,1,0,0,1,2,1,0,0,0,0,1,0,1,0,0,5,5,1,0,0,0,2,2,2,3,3,3,3,3,3,3,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1
16.61918,70.08,2018,0,0,0,0,1,0,3,4,4,3,0,0,1,0,0,0,2,1,0,0,0,0,0,0,1,0,0,4,4,1,0,0,1,1,1,2,2,3,3,3,3,2,3,2,2,6,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
16.68219,24.79,2018,0,0,0,0,0,0,1,1,2,3,0,-1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4,3,2,0,0,0,2,2,2,3,3,1,3,3,3,3,3,3,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
